name,version,status,observable,remoteType,remoteUrl,pkgKinds,httpReachable,httpStatus,handshake,toolsListed,authRequired,toolCount,annotatedTools,readOnlyHint,destructiveHint,idempotentHint,openWorldHint,failReason
io.github.rocnubie/videotoaudioconverter-mcp,0.1.0,active,false,,,,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.mcp-dir/ibama_embargos-mcp,0.1.0,active,true,streamable-http,https://api.mcp.ai/p_ibama_embargos,,true,200,initialize,true,false,7,7,7,7,7,7,
io.github.supertone-inc/supertone-mcp,0.3.1,active,false,,,pypi,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
ai.calfeed/calfeed,1.0.0,active,true,streamable-http,https://calfeed.ai/api/mcp,,true,401,,false,true,0,0,0,0,0,0,auth-required-401
com.microsoft/workiq-wordserver,1.0.0,active,true,streamable-http,https://agent365.svc.cloud.microsoft/agents/tenants/{tenant_id}/servers/mcp_WordServer,,true,400,none,false,false,0,0,0,0,0,0,no-jsonrpc-response(http 400)
io.github.Evozim/bio-data-parser,1.0.0,active,true,sse,https://bio-data-parser-mcp.vercel.app/api/mcp,,true,402,,false,false,0,0,0,0,0,0,sse-open-failed(http 402)
io.github.langhoormarchal-beep/calmactiva-catalog,1.0.1,active,true,streamable-http,https://dgymaetjyvzdblryurmi.supabase.co/functions/v1/mcp-server,,true,200,initialize,true,false,5,0,0,0,0,0,
com.crawdar/business-research,1.3.1,active,true,streamable-http,https://crawdar.com/api/mcp,,true,200,initialize,true,false,9,9,9,9,9,9,
io.github.DotNova/context-layer,0.1.0,active,true,streamable-http,https://api.dotnova.io/mcp,,true,200,initialize,true,false,62,0,0,0,0,0,
dev.reapx/books-library,1.0.0,deprecated,true,streamable-http,https://mcp.apify.com/?actors=reapx/open-library-scraper,,true,401,,false,true,0,0,0,0,0,0,auth-required-401
io.polyblog/polyblog,0.1.0,active,true,streamable-http,https://mcp.polyblog.io/mcp,,true,401,,false,true,0,0,0,0,0,0,auth-required-401
com.ki-alternativen/kialternativen,1.0.0,active,true,streamable-http,https://ki-alternativen.com/api/mcp/mcp,,true,200,initialize,true,false,6,6,6,2,6,6,
fr.intrane/peage-mcp,0.1.5,active,false,,,mcpb,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
technology.royalty/royaltea-public,1.0.0,active,true,streamable-http,https://api.royalty.technology/api/public-mcp,,true,200,initialize,true,false,5,5,5,1,0,0,
io.github.musharna/ldraw-mcp,0.2.3,active,false,,,pypi,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.KNambiarDJsc/meridian-mcp,0.3.3,active,false,,,pypi,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.billylui/temporal-cortex-mcp,0.5.0,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
ro.avizo/avizo-mcp,0.1.0,active,true,streamable-http,https://avizo.ro/mcp,,true,200,initialize,true,false,5,5,5,5,5,5,
io.github.JeenyJAI/mcp-test-utils,3.10.1,active,false,,,mcpb,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.mcp-dir/sintegra_am-mcp,0.1.0,active,true,streamable-http,https://api.mcp.ai/p_sintegra_am,,true,200,initialize,true,false,7,7,7,7,7,7,
io.github.beepboop2025/pdf-suite-mcp,2.1.3,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.Ainode-tech/swiss-army,0.1.1,active,true,streamable-http,https://swiss.api.ainode.tech/mcp,,true,200,initialize,true,false,23,0,0,0,0,0,
app.potto/potto-japan,1.0.0,active,true,streamable-http,https://potto.app/mcp,,true,401,,false,true,0,0,0,0,0,0,auth-required-401
